Reportnumber,NonMotoristID,NonMotoristActions,NonMotoristAlcoholTestindicator,NonMotoristAlcoholTestType,NonMotoristBAC,NonMotoristCondition,NonMotoristDOB,NonMotoristDrugTestIndicator,NonMotoristDrugTestResult,NonMotoristInjurySeverity,NonMotoristLocation,NonMotoristMovement,NonMotoristObeyTrafficSignal,NonMotoristSafetyEquipment,NonMotoristSex,NonMotoristSubstanceUse,NonMotoristType,NonMotoristUnitNumberFirstStrike,NonMotoristVisibility
MTA0407000V,3470888d-4689-4916-a7c7-7bd1a9780c51,Unknown,N/A,,,Apparently Normal,4/30/1985,N/A,,Possible Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,None,M,None Detected,Other Conveyance,,N/A
ADG632007H,14b41589-1425-4589-a667-315a695cd471,No Improper Actions,N/A,,,Apparently Normal,9/21/1989,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,Obeyed Pedestrian Signal,Protective Pads,F,None Detected,Bicyclist,,Light Clothing
ADK3590028,d84dddb5-c3ce-4ad3-9ea9-5eb6d8061344,Unknown,Unknown,,,,3/9/1969,Unknown,,Suspected Minor Injury,N/A,Cross/Enter at Intersection,Unknown,None,M,Unknown,Pedestrian,,Light Clothing
ADK4350049,e10b0a15-518d-4e93-82a2-140bbea6133f,No Improper Actions,N/A,,,N/A,11/19/1999,N/A,,Possible Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,None,M,N/A,Other,1,Dark Clothing
ADK681001F,19671a8e-5624-42a3-98b5-dc8f8416e552,Unknown,N/A,,,Apparently Normal,6/22/1990,N/A,,Possible Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADK657000J,ee58059e-26a6-41f4-9295-11c70f0e74b0,No Improper Actions,N/A,,,Apparently Normal,10/22/1964,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,N/A,N/A,F,N/A,Pedestrian,1,Dark Clothing
ADJ440004T,49f802e2-5cfb-42fe-ab48-506e83141151,N/A,N/A,,,Apparently Normal,8/12/1996,N/A,,Possible Injury,Other,Other,No Pedestrian Signal,N/A,M,None Detected,Pedestrian,,Dark Clothing
BSPDA176000Z,9206b868-c907-4f99-96f5-85386db20f3f,Dart Dash,N/A,,,,9/29/2009,N/A,,Possible Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,None,F,N/A,Pedestrian,,Other
ADJ773002R,f1c1560e-c85c-4bf5-a0cd-892d96ed12c4,In Roadway Improperly,N/A,,,Apparently Normal,7/31/2001,N/A,,Suspected Serious Injury,Shoulder,Walking/Riding With Traffic,N/A,None,M,N/A,Pedestrian,1,Dark Clothing
ADH154008G,902b5f70-27a0-43cb-b009-28e4069308b3,No Improper Actions,N/A,,,,4/7/2012,N/A,,Possible Injury,Other,Other,N/A,None,F,N/A,Pedestrian,,Mixed Clothing
ADK0100017,aa47b250-83f6-433e-8262-8e9bd7efdf2f,In Roadway Improperly,N/A,,,Apparently Normal,7/3/2007,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Other,N/A,N/A,M,N/A,Pedestrian,1,Mixed Clothing
ADK653001B,7bf28912-fbc7-45da-9828-6a8ebf3cf498,Inattentive,N/A,,,Apparently Normal,6/12/1996,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Light Clothing
ADK705000Z,5f80a4af-a617-405a-ad4e-2fe783b48ec8,Dart Dash,N/A,,,Apparently Normal,1/16/2015,N/A,,Suspected Minor Injury,Outside Right of Way,Playing,No Pedestrian Signal,None,M,N/A,Pedestrian,1,N/A
ADK894000B,da5f7d1e-d76d-4ffe-a749-3f2926dbe7d8,In Roadway Improperly,N/A,Unknown,,,7/17/1978,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,None,M,Unknown,Pedestrian,1,Light Clothing
ADK188002Q,e2ec567b-c8c5-4532-8e0d-691bbc9361af,Unknown,N/A,,,,8/12/1973,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,,Dark Clothing
ADK8510007,8a0a8567-ff26-4679-a65d-2d53eb4cf3a2,N/A,N/A,,,,6/2/1989,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,None,F,None Detected,Pedestrian,1,Dark Clothing
ADK2420028,51365d75-dc92-4c53-8dba-78cdf25233f4,In Roadway Improperly,N/A,,,,12/27/1999,N/A,,Suspected Minor Injury,Outside Right of Way,Walking/Riding Against Traffic,No Pedestrian Signal,None,F,N/A,Machine Operator/Rider,,Light Clothing
ADK2420028,6b6c4af4-c853-406a-ac94-1479383f4510,In Roadway Improperly,Test Refused,,,,6/24/1996,N/A,,Possible Injury,Outside Right of Way,Walking/Riding Against Traffic,No Pedestrian Signal,N/A,M,N/A,Machine Operator/Rider,,Light Clothing
ADK572002T,cdc6fc4c-b019-405c-b9e0-6b6ba346ae0d,Unknown,N/A,,,Apparently Normal,10/12/1998,N/A,,Suspected Minor Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,N/A,N/A,F,N/A,Other,1,N/A
ADK843000P,8b460fd3-b39f-453f-8e5a-6f1ff17f85b9,No Improper Actions,N/A,,,Apparently Normal,7/29/1965,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Unknown
ADK226003Y,fd74909a-a020-4c39-b5eb-cf2b5acb5e3b,Unknown,N/A,,,,1/26/2009,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,F,N/A,Pedestrian,1,Light Clothing
ADK379000W,caef55a5-4b81-4dfe-8153-bfb8d830a37d,Unknown,N/A,,,,12/16/1962,N/A,,Suspected Minor Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Unknown,N/A,M,N/A,Bicyclist,,Mixed Clothing
ADJ39200BX,80dd4364-9911-4a79-a2b9-a0b73b557a02,Unknown,N/A,,,Apparently Normal,3/28/1991,N/A,,Possible Injury,On Roadway Not at Crosswalk,Other,Other,N/A,F,N/A,Pedestrian,3,N/A
ADK592003F,b270a4a1-7b40-4db7-b8b0-db3a6e023891,No Improper Actions,N/A,,,N/A,8/18/1978,N/A,,Possible Injury,N/A,Cross/Enter at Intersection,Unknown,N/A,F,N/A,Machine Operator/Rider,1,Mixed Clothing
ADK675001W,3525d191-e2df-4ec4-83ce-cfdf4ab6a00a,N/A,N/A,,,Apparently Normal,8/19/2013,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Playing,N/A,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADJ881004L,75b87d37-eebe-45d9-9ead-fae905ac9a68,No Improper Actions,N/A,,,,7/15/2008,N/A,,Possible Injury,Curb,Walking/Riding on Sidewalk,No Pedestrian Signal,None,M,N/A,Other,1,Light Clothing
MTA03090016,1253bd9e-2d8e-4b9c-afd7-7aad104b6d2c,In Roadway Improperly,N/A,,,Apparently Normal,6/4/1984,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,Other,N/A,M,None Detected,Other Pedalcyclist,1,Mixed Clothing
ADF189002P,5515cebf-2fca-4d34-a9af-04bacb08b4a3,Unknown,N/A,,,Other,9/14/1958,N/A,,Possible Injury,Other,Other Working,N/A,Reflective Clothing,M,None Detected,Pedestrian,,Light Clothing
ADK4760027,9cabeda1-3d8c-4cd2-bf05-5d875b1c847a,Unknown,N/A,,,,6/19/2017,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,Mixed Clothing
ADK590001N,9b318724-f07a-44ee-914c-209fc2df3eee,Unknown,N/A,,,Apparently Normal,5/21/1986,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Standing,Unknown,Reflective Clothing,M,N/A,Pedestrian,1,Reflective Material
JC3957000M,bae44b14-8f9d-4cb9-8e09-662dd77e2ba0,In Roadway Improperly,N/A,,,Apparently Normal,7/6/1989,N/A,,Possible Injury,Outside Right of Way,Cross/Enter Not at Intersection,Disobeyed Pedestrian Signal,N/A,F,None Detected,Pedestrian,1,Dark Clothing
ADH4360057,6ddf09e7-6ac2-4659-a43d-f314298d9d55,Other,N/A,,,Apparently Normal,1/11/2008,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Disobeyed Pedestrian Signal,Lighting,M,None Detected,Pedestrian,1,Light Clothing
ADK8460011,3450095a-d971-4b64-b53f-e76b4ea44337,Unknown,N/A,,,,12/22/1998,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,Unknown,N/A,M,Unknown,Unknown,,Unknown
ADK127000K,87b9c313-647f-4974-9b3d-9ef1570c487d,Unknown,N/A,,,,5/17/2005,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,None,M,N/A,Other,,Dark Clothing
ADF4560036,e3dc9ae4-17c6-4310-96ac-b0a98b3881d2,Other,N/A,,,,10/13/1990,N/A,,Suspected Serious Injury,Other,Other,Other,N/A,F,Unknown,Pedestrian,,N/A
ADK427001Z,073f2758-3642-4da6-9370-1fc50cdd43d5,No Improper Actions,N/A,,,Apparently Normal,8/1/1967,N/A,,Possible Injury,N/A,Cross/Enter at Intersection,N/A,Reflective Clothing,M,None Detected,Pedestrian,1,Reflective Material
ADK0750025,802660b7-1de2-4079-bc1b-94bfac28c736,Unknown,N/A,,,Apparently Normal,1/20/1986,N/A,,Possible Injury,N/A,Other,N/A,None,M,None Detected,Machine Operator/Rider,1,Unknown
ADK8630007,c122bdf5-eb29-4271-9c9b-1f49655d8e3e,Unknown,N/A,,,,5/31/1955,N/A,,Possible Injury,At Intersection Marked Crosswalk,N/A,Unknown,N/A,M,N/A,Pedestrian,,Mixed Clothing
ADK127000T,b0277c47-630c-4853-b36d-b4c1e1da5033,Unknown,N/A,,,Apparently Normal,12/30/2007,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,Unknown,None,M,N/A,Other Pedalcyclist,,Dark Clothing
ADK735001T,c5a453c2-a827-49f7-8197-f7d4e88c8217,No Improper Actions,N/A,,,,8/8/1966,N/A,,Suspected Serious Injury,Other,Other,N/A,N/A,F,N/A,Pedestrian,1,N/A
BSPDA190000P,6e9bb9db-1225-4e6e-93ff-ac5037e6ada7,Unknown,N/A,,,,10/4/2008,N/A,,Possible Injury,Shoulder,Cross/Enter at Intersection,Unknown,None,M,None Detected,Bicyclist,,N/A
ADJ448005G,b2373044-2d93-48f3-961f-c38f2af91909,Unknown,N/A,,,Other,11/20/2014,N/A,,Possible Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Unknown,N/A,M,N/A,Pedestrian,,Unknown
ADK209001K,02b03145-f4a7-4e1c-945b-739c38233d2f,No Improper Actions,N/A,,,,12/27/1959,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter Not at Intersection,Unknown,N/A,F,N/A,Pedestrian,,Dark Clothing
ADK878000Q,ccc579e8-d892-496c-addb-4bc0cf9c5dd0,No Improper Actions,N/A,,,,3/7/2017,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,None,F,N/A,Pedestrian,,Dark Clothing
ADK819000M,14d77a03-67ce-413e-b952-3a49d8e9989f,Unknown,N/A,,,Apparently Normal,5/27/2015,N/A,,Suspected Minor Injury,Sidewalk,Cross/Enter at Intersection,Unknown,N/A,F,N/A,Pedestrian,1,Unknown
ADK891000D,c484734f-7cd1-438e-bca3-ab73beb8f437,No Improper Actions,N/A,,,Apparently Normal,4/10/1995,N/A,,Possible Injury,Unknown,Other,Unknown,N/A,F,N/A,Pedestrian,1,Mixed Clothing
ADJ608009W,e7b9a8f0-f094-4ca6-a63d-5c0946d0ab7e,In Roadway Improperly,N/A,,,,5/21/1988,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,N/A,N/A,M,N/A,Pedestrian,,Dark Clothing
ADK244001V,35e63ddb-8cab-4f9b-aaee-359e64412244,Unknown,N/A,,,,3/9/1974,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,None,M,Unknown,Pedestrian,1,Light Clothing
ADK366002F,cf4ebeb3-bb70-460f-8334-9fc8a4bcadf6,N/A,N/A,,,,9/6/1997,N/A,,Suspected Minor Injury,In Bikeway,Unknown,N/A,None,F,N/A,Other Conveyance,1,N/A
ADK692000T,94d66c60-26b3-431b-a7a0-fc0c860b4e7b,Unknown,N/A,,,Apparently Normal,6/20/1965,N/A,,Possible Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,F,N/A,Pedestrian,1,Unknown
ADK8960006,a992c852-e64c-4c93-bb93-e7f3270e9ab8,Dart Dash,N/A,,,,10/23/1963,N/A,,Possible Injury,Outside Right of Way,Cross/Enter Not at Intersection,Unknown,Unknown,M,Unknown,Pedestrian,,Dark Clothing
ADJ946002S,1294a0aa-f56c-4ded-9c18-32ce424f2d00,Dart Dash,N/A,,,,3/14/2014,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Unknown,None,M,N/A,Pedestrian,1,Other
ADK558001Y,4841ac62-0bc7-46ed-b30e-52aa146462fe,In Roadway Improperly,N/A,,,,8/6/1943,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,N/A
MTA0345001Y,3b389f4c-c8a0-4008-90e9-46eff234b07b,Entering Exiting Parked Standing Vehicle,N/A,,,Apparently Normal,4/19/1988,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Standing,N/A,N/A,F,None Detected,Pedestrian,1,Mixed Clothing
ADK771000K,512cd6dd-3981-4f82-9d2b-43846569a5b5,N/A,N/A,,,Apparently Normal,1/21/1966,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,None,F,None Detected,Pedestrian,1,Mixed Clothing
JCP1650002,7fed7ce2-40b4-435d-b49f-1fbbe4af4f6a,Unknown,N/A,,,Apparently Normal,12/27/1998,N/A,,Possible Injury,Sidewalk,Cross/Enter at Intersection,Unknown,N/A,F,N/A,Pedestrian,1,Unknown
ADK818001G,af4c6df6-6259-433f-9346-98d9402ae12c,Other,N/A,,,Apparently Normal,9/11/1993,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Unknown,N/A,M,N/A,Pedestrian,1,N/A
ADI112007S,d017453f-57a7-4119-aabf-5c96e483f55b,Inattentive,N/A,,,,4/19/2011,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,Unknown,N/A,M,N/A,Bicyclist,,Mixed Clothing
ADK509001X,3e6adec2-beed-4504-b53d-2fdb98801363,No Improper Actions,N/A,,,Apparently Normal,9/8/1983,N/A,,Suspected Minor Injury,Shoulder,Standing,N/A,N/A,M,N/A,Pedestrian,2,Mixed Clothing
ADK509001Y,ccac02a1-fccd-4810-acf2-63868b86bc17,Failure to Yield Right of Way,N/A,,,Apparently Normal,10/17/2012,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,None,M,N/A,Other Conveyance,1,Mixed Clothing
ADK819000N,3e408ca5-0da9-49a8-a7d0-6131f408aecd,Unknown,N/A,,,Apparently Normal,5/17/2018,N/A,,Suspected Minor Injury,Sidewalk,Unknown,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADK4060041,0eb3c487-eb92-490d-8ebf-0d8374a26d64,In Roadway Improperly,N/A,,,Apparently Normal,3/4/1993,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Light Clothing
ADK632000J,9120858a-4cfc-4057-8fd0-3f753ac07f65,N/A,N/A,,,N/A,2/20/1976,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,N/A,No Pedestrian Signal,None,F,Unknown,Pedestrian,1,Dark Clothing
ADK0170021,3615e056-0a49-42fe-94be-327263a1870a,Failure to Yield Right of Way,N/A,,,Apparently Normal,7/13/2014,N/A,,Possible Injury,On Roadway At Crosswalk,Playing,No Pedestrian Signal,None,M,N/A,Bicyclist,,Dark Clothing
ADK649002W,7f05dc37-e2a6-4f92-9004-922c4f19597a,Unknown,N/A,,,Apparently Normal,2/22/1995,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,N/A,F,N/A,Pedestrian,1,N/A
ADJ991000M,05f1f8c0-c5b9-4ef1-98a6-1bfa1567ea16,Unknown,N/A,,,,6/13/1995,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,None,M,None Detected,Bicyclist,,Mixed Clothing
ADK781000R,f9fb5e67-6789-42ec-84f5-00499b094324,N/A,N/A,,,Apparently Normal,2/24/1997,N/A,,Possible Injury,In Bikeway,Walking/Riding With Traffic,Obeyed Pedestrian Signal,Helmet,M,N/A,Bicyclist,1,Light Clothing
ADJ863007J,d4ee46e3-9567-4e7a-ad88-b4cf233c4376,Unknown,N/A,,,Apparently Normal,4/26/2009,N/A,,Suspected Minor Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Unknown,N/A,M,None Detected,Pedestrian,,N/A
ADK763000J,e940a012-b283-4eb8-97a7-99a6885bee56,In Roadway Improperly,N/A,,,N/A,9/15/1954,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Cross/Enter at Intersection,No Pedestrian Signal,N/A,M,N/A,Pedestrian,,Mixed Clothing
ADK411002N,7618529e-787e-4e7c-bdb6-7bf7a4d80495,No Improper Actions,N/A,,,,11/20/2012,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,F,N/A,Pedestrian,,N/A
ADK411002N,c21fa6c6-8316-4812-b0b7-34dd4392e69b,No Improper Actions,N/A,,,,6/12/2006,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,F,None Detected,Pedestrian,,N/A
ADK411002N,df05d2ee-90f7-4552-9deb-4d3809e6e2f4,No Improper Actions,N/A,,,,1/23/1982,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,None,F,None Detected,Pedestrian,,N/A
ADK798000M,6adf86b0-236b-4cc0-a714-e287072c544d,Unknown,N/A,,,Apparently Normal,6/8/1990,N/A,,Possible Injury,In Bikeway,Cross/Enter at Intersection,Unknown,Helmet,M,None Detected,Bicyclist,,Dark Clothing
ADI8880008,d52cfd09-1574-47f3-85d7-5cb24d9734fe,Unknown,N/A,,,Apparently Normal,9/4/1992,N/A,,Possible Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Unknown,None,F,N/A,Pedestrian,1,Dark Clothing
ADK858000F,ea929f16-59f0-416e-aa8e-74136381f800,Unknown,N/A,,,Apparently Normal,1/19/1974,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,N/A,F,N/A,Pedestrian,1,Dark Clothing
ADK2720028,0ea58c62-7a1c-47a3-84fa-53fe91af5a53,N/A,N/A,,,Apparently Normal,4/20/1992,N/A,,Suspected Minor Injury,N/A,N/A,No Pedestrian Signal,None,M,N/A,Pedestrian,1,Dark Clothing
ADK558003J,ae917ef9-24b4-4390-ac1e-43d290eeb8ee,No Improper Actions,N/A,,,Apparently Normal,7/10/1981,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,None,M,N/A,Bicyclist,1,Mixed Clothing
ADK321003T,6f68a58e-8c1f-42b7-b6d4-2a9f25040e85,Improper Passing,N/A,,,Had Been Drinking,10/12/1957,N/A,,Suspected Minor Injury,Outside Right of Way,Walking/Riding Against Traffic,No Pedestrian Signal,N/A,M,Alcohol Present,Pedestrian,1,Dark Clothing
ADG4930079,c6afadee-6b5c-42e1-a582-41fd25a66bd8,Unknown,N/A,,,Apparently Normal,2/2/1996,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,N/A,None,M,N/A,Pedestrian,1,N/A
ADK859000Q,6e7d17a3-b483-40c9-b1ad-29494cdc64af,Unknown,N/A,,,Unknown,6/29/1995,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding on Sidewalk,N/A,None,F,Unknown,Pedestrian,1,Light Clothing
ADI340005Y,7b7f8604-286e-4f2e-890e-082a4805b0bc,Not Visible,N/A,,,Apparently Normal,9/28/1969,N/A,,Suspected Minor Injury,Other,Walking/Riding With Traffic,N/A,None,M,N/A,Bicyclist,1,Mixed Clothing
ADK1940058,bba1ac33-b121-4381-8aff-4be53b1370a7,No Improper Actions,N/A,,,N/A,10/19/1935,N/A,,Possible Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,F,None Detected,Pedestrian,1,Mixed Clothing
ADI1400071,242a6cd4-0304-4faf-bd04-2f7ca051fe0e,No Improper Actions,N/A,,,Apparently Normal,11/22/1965,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,N/A,M,None Detected,Pedestrian,1,Mixed Clothing
ADJ6500059,d77c3120-bff0-449f-b894-d7890ae825e3,No Improper Actions,N/A,,,Apparently Normal,5/28/1982,N/A,,Suspected Minor Injury,Other,Other,N/A,N/A,M,None Detected,Pedestrian,1,Unknown
ADK026003R,c5d24bd6-ee58-41b2-beb8-005f7b87d262,No Improper Actions,N/A,,,Apparently Normal,12/26/1968,N/A,,Suspected Minor Injury,Outside Right of Way,Cross/Enter Not at Intersection,N/A,N/A,F,N/A,Pedestrian,1,Light Clothing
ADK780001F,25c38ccf-b18e-45a3-b946-2477fce36229,Disabled Vehicle Related,N/A,,,Apparently Normal,12/6/1979,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Other Working,N/A,N/A,M,None Detected,Pedestrian,1,Dark Clothing
ADF81900CL,3c1d9c90-fd6d-4b92-8cdf-dbc70010f195,Dart Dash,Other,Blood,0.27,Had Been Drinking,12/6/1960,Other,Negative,Fatal Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Disobeyed Pedestrian Signal,N/A,F,Alcohol Present,Pedestrian,1,Dark Clothing
ADK5050011,77dff499-e6d6-4ef7-ba1f-352094e24c91,Dart Dash,N/A,,,Had Been Drinking,1/12/1990,N/A,,Suspected Minor Injury,Unknown,Unknown,Unknown,None,M,Alcohol Present,Pedestrian,1,Mixed Clothing
ADK611002L,8a96b2b4-eccc-4133-91e6-54173fc0ec38,No Improper Actions,N/A,,,,7/10/1990,N/A,,Suspected Minor Injury,At Intersection Marked Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,Unknown,M,N/A,Pedestrian,,Unknown
ADH154008H,312371c4-5336-439a-a08f-89635037aec1,No Improper Actions,N/A,,,,9/14/1978,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Obeyed Pedestrian Signal,Reflective Clothing,M,None Detected,Pedestrian,,Reflective Material
ADK589000T,5fbb7436-30f7-405a-bdd1-1eb039b95b4a,Unknown,N/A,,,Apparently Normal,11/10/1973,N/A,,Possible Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,Unknown,None,M,N/A,Pedestrian,,Mixed Clothing
ADK5330021,11bf22ac-8f05-412a-9482-834414bb659d,Other,N/A,,,Apparently Normal,2/13/1964,N/A,,Suspected Minor Injury,Median,Other,N/A,N/A,M,N/A,Pedestrian,1,Light Clothing
ADJ4400055,4fd2c8c6-e367-48b6-af37-31cf9b5b3dc2,No Improper Actions,N/A,,,,9/30/1957,N/A,,Suspected Serious Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,None,M,None Detected,Pedestrian,1,Dark Clothing
ADK177005J,6cbd1ac5-445e-41e0-a9fb-38a06e48b80f,Other,N/A,,,Apparently Normal,6/23/1971,N/A,,Possible Injury,Other,Standing,N/A,N/A,F,None Detected,Pedestrian,,Light Clothing
ADK7440019,9b1528b8-61b8-4929-8ac4-2db2b35f2a04,Failure to Yield Right of Way,N/A,,,Apparently Normal,5/21/1984,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,None Detected,Pedestrian,1,Mixed Clothing
DGSP00180019,3add67da-c50a-4642-b643-2f6b09311f7f,Failure to Yield Right of Way,N/A,,,Apparently Normal,9/12/1975,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding With Traffic,N/A,Reflective Clothing,M,N/A,Bicyclist,,Mixed Clothing
ADK729001M,013a4ade-6914-4d6e-8e3c-56ea8c974fc1,No Improper Actions,N/A,,,Apparently Normal,7/16/2006,N/A,,Suspected Minor Injury,On Roadway At Crosswalk,Cross/Enter at Intersection,N/A,N/A,M,N/A,Pedestrian,1,N/A
ADI682007L,60033175-f1ca-4dfd-a5f3-b1b566a17c8a,In Roadway Improperly,N/A,,,Apparently Normal,6/16/1973,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter Not at Intersection,No Pedestrian Signal,None,M,N/A,Pedestrian,1,Light Clothing
MDTA0700000L,9994adc6-75b5-47e2-833b-2bb529ae4b31,In Roadway Improperly,N/A,,,Apparently Normal,10/20/1969,N/A,,Possible Injury,On Roadway Not at Crosswalk,Standing,N/A,None,M,None Detected,Pedestrian,2,N/A
MDTA0700000L,9d4fbde1-6bea-4ac7-b9a5-be120b068431,In Roadway Improperly,N/A,,,,10/19/1970,N/A,,Fatal Injury,On Roadway Not at Crosswalk,Standing,N/A,None,M,None Detected,Pedestrian,1,Mixed Clothing
MDTA0700000L,b0e4ff5c-0c16-4a80-abf7-f54fefa7c087,In Roadway Improperly,N/A,,,Apparently Normal,1/19/1994,N/A,,Suspected Serious Injury,On Roadway Not at Crosswalk,Standing,N/A,None,M,None Detected,Pedestrian,1,Dark Clothing
ADI350005H,5631b796-56a9-44aa-8a1a-7b5a8f176591,Not Visible,N/A,,,,2/5/1990,N/A,,Suspected Minor Injury,N/A,Unknown,N/A,None,M,N/A,Machine Operator/Rider,,N/A
ADJ9840035,bb1412bc-3c66-48ba-82e9-bee283fb924b,Improper Passing,N/A,,,N/A,10/20/1976,N/A,,Possible Injury,Other,Other,N/A,None,F,N/A,Pedestrian,1,Light Clothing
ADK500001G,af99179e-0bba-4f85-9bd8-c7bbbed5e45d,No Improper Actions,N/A,,,Apparently Normal,7/16/1984,N/A,,Possible Injury,On Roadway At Crosswalk,N/A,Obeyed Pedestrian Signal,N/A,F,Unknown,Pedestrian,1,Mixed Clothing
ADK6770015,95303309-4be0-4fdc-a42c-de527cebba3a,Wrong Way Riding or Walking,N/A,,,Apparently Normal,10/2/2007,N/A,,Suspected Minor Injury,On Roadway Not at Crosswalk,Walking/Riding Against Traffic,Disobeyed Pedestrian Signal,None,M,None Detected,Other Pedalcyclist,,Dark Clothing
ADK877000L,45d579df-807c-48ae-a9bb-1d8f58b14c3b,Unknown,N/A,,,Apparently Normal,9/20/1982,N/A,,Suspected Minor Injury,At Intersection But No Crosswalk,Cross/Enter at Intersection,N/A,N/A,F,None Detected,Other,1,Dark Clothing
